Tempo;Deslocamento;Força;Deformação à tração (Deslocamento);Deslocamento à tração;Quantidade de PIP;Tenacidade;Tensão à tração
(s);(mm);(kN);(%);(mm);;(N/tex);(MPa)
"0,0000";"-0,0018";"0,0000";"0,0000";"0,0000";"0,0000";"0,0412";"0,0007"
"0,0200";"-0,0018";"0,0001";"0,0000";"0,0000";"0,0000";"0,0574";"0,0010"
"0,0400";"-0,0017";"0,0001";"0,0001";"0,0001";"0,0000";"0,1324";"0,0022"
"0,0600";"-0,0013";"0,0005";"0,0002";"0,0005";"0,0000";"0,5261";"0,0088"
"0,0800";"-0,0005";"0,0014";"0,0007";"0,0013";"0,0000";"1,4251";"0,0238"
"0,1000";"0,0006";"0,0025";"0,0013";"0,0024";"0,0000";"2,5307";"0,0422"
"0,1200";"0,0016";"0,0036";"0,0018";"0,0034";"0,0000";"3,5975";"0,0600"
"0,1400";"0,0026";"0,0046";"0,0023";"0,0044";"0,0000";"4,6353";"0,0773"
"0,1600";"0,0037";"0,0058";"0,0029";"0,0055";"0,0000";"5,7709";"0,0962"
"0,1800";"0,0049";"0,0069";"0,0035";"0,0067";"0,0000";"6,9369";"0,1156"
"0,2000";"0,0060";"0,0081";"0,0041";"0,0078";"0,0000";"8,1218";"0,1354"
"0,2200";"0,0071";"0,0092";"0,0047";"0,0089";"0,0000";"9,2076";"0,1535"
"0,2400";"0,0082";"0,0103";"0,0053";"0,0100";"0,0000";"10,3088";"0,1718"
"0,2600";"0,0093";"0,0114";"0,0058";"0,0111";"0,0000";"11,3790";"0,1897"
"0,2800";"0,0105";"0,0126";"0,0065";"0,0123";"0,0000";"12,5961";"0,2099"
"0,3000";"0,0119";"0,0140";"0,0072";"0,0137";"0,0000";"13,9534";"0,2326"
"0,3200";"0,0133";"0,0153";"0,0079";"0,0151";"0,0000";"15,3123";"0,2552"
"0,3400";"0,0144";"0,0164";"0,0085";"0,0162";"0,0000";"16,4336";"0,2739"
"0,3600";"0,0156";"0,0176";"0,0091";"0,0174";"0,0000";"17,5881";"0,2931"
"0,3800";"0,0169";"0,0189";"0,0098";"0,0187";"0,0000";"18,8558";"0,3143"
"0,4000";"0,0180";"0,0200";"0,0104";"0,0198";"0,0000";"19,9898";"0,3332"
"0,4200";"0,0192";"0,0212";"0,0111";"0,0210";"0,0000";"21,1742";"0,3529"
"0,4400";"0,0206";"0,0225";"0,0118";"0,0224";"0,0000";"22,5399";"0,3757"
"0,4600";"0,0222";"0,0240";"0,0126";"0,0240";"0,0000";"24,0414";"0,4007"
"0,4800";"0,0235";"0,0253";"0,0133";"0,0253";"0,0000";"25,3034";"0,4217"
"0,5000";"0,0247";"0,0265";"0,0140";"0,0265";"0,0000";"26,5244";"0,4421"
"0,5200";"0,0261";"0,0279";"0,0147";"0,0279";"0,0000";"27,8501";"0,4642"
"0,5400";"0,0277";"0,0294";"0,0155";"0,0295";"0,0000";"29,3935";"0,4899"
"0,5600";"0,0290";"0,0307";"0,0162";"0,0308";"0,0000";"30,6550";"0,5109"
"0,5800";"0,0300";"0,0317";"0,0167";"0,0318";"0,0000";"31,6668";"0,5278"
"0,6000";"0,0311";"0,0327";"0,0173";"0,0329";"0,0000";"32,6970";"0,5449"
"0,6200";"0,0324";"0,0339";"0,0180";"0,0341";"0,0000";"33,9433";"0,5657"
"0,6400";"0,0338";"0,0353";"0,0187";"0,0356";"0,0000";"35,3142";"0,5886"
"0,6600";"0,0352";"0,0367";"0,0195";"0,0370";"0,0000";"36,6569";"0,6109"
"0,6800";"0,0365";"0,0379";"0,0202";"0,0383";"0,0000";"37,9438";"0,6324"
"0,7000";"0,0380";"0,0394";"0,0209";"0,0398";"0,0000";"39,3885";"0,6565"
"0,7200";"0,0394";"0,0408";"0,0217";"0,0412";"0,0000";"40,7688";"0,6795"
"0,7400";"0,0407";"0,0420";"0,0224";"0,0425";"0,0000";"42,0019";"0,7000"
"0,7600";"0,0419";"0,0431";"0,0230";"0,0437";"0,0000";"43,1146";"0,7186"
"0,7800";"0,0433";"0,0444";"0,0237";"0,0450";"0,0000";"44,3889";"0,7398"
"0,8000";"0,0447";"0,0457";"0,0244";"0,0464";"0,0000";"45,7296";"0,7622"
"0,8200";"0,0460";"0,0471";"0,0252";"0,0478";"0,0000";"47,0616";"0,7844"
"0,8400";"0,0476";"0,0485";"0,0260";"0,0494";"0,0000";"48,5451";"0,8091"
"0,8600";"0,0491";"0,0500";"0,0268";"0,0509";"0,0000";"49,9652";"0,8328"
"0,8800";"0,0505";"0,0513";"0,0275";"0,0523";"0,0000";"51,2608";"0,8543"
"0,9000";"0,0518";"0,0525";"0,0282";"0,0536";"0,0000";"52,5182";"0,8753"
"0,9200";"0,0532";"0,0538";"0,0289";"0,0550";"0,0000";"53,8368";"0,8973"
