Tempo;Deslocamento;Força;Deslocamento à tração;Quantidade de PIP;Tenacidade;Tensão à tração;Deformação à tração (Deslocamento)
"0,0000";"0,0008";"0,0000";"0,0000";"0,0000";"0,0480";"0,0008";"0,0000"
"0,0200";"0,0008";"0,0000";"0,0000";"0,0000";"0,0435";"0,0007";"0,0000"
"0,0400";"0,0008";"0,0000";"0,0000";"0,0000";"0,0490";"0,0008";"0,0000"
"0,0600";"0,0008";"0,0000";"0,0000";"0,0000";"0,0482";"0,0008";"0,0000"
"0,0800";"0,0008";"0,0001";"0,0000";"0,0000";"0,0537";"0,0009";"0,0000"
"0,1000";"0,0008";"0,0001";"0,0000";"0,0000";"0,0588";"0,0010";"0,0000"
"0,1200";"0,0008";"0,0001";"0,0000";"0,0000";"0,0793";"0,0013";"0,0000"
"0,1400";"0,0008";"0,0001";"0,0001";"0,0000";"0,0955";"0,0016";"0,0000"
"0,1600";"0,0009";"0,0001";"0,0001";"0,0000";"0,1238";"0,0021";"0,0000"
"0,1800";"0,0009";"0,0002";"0,0001";"0,0000";"0,1728";"0,0029";"0,0001"
"0,2000";"0,0010";"0,0003";"0,0002";"0,0000";"0,2504";"0,0042";"0,0001"
"0,2200";"0,0010";"0,0003";"0,0002";"0,0000";"0,3035";"0,0051";"0,0001"
"0,2400";"0,0011";"0,0004";"0,0003";"0,0000";"0,3552";"0,0059";"0,0001"
"0,2600";"0,0011";"0,0004";"0,0003";"0,0000";"0,4442";"0,0074";"0,0002"
"0,2800";"0,0012";"0,0006";"0,0004";"0,0000";"0,5546";"0,0092";"0,0002"
"0,3000";"0,0013";"0,0007";"0,0005";"0,0000";"0,6686";"0,0111";"0,0003"
"0,3200";"0,0014";"0,0008";"0,0006";"0,0000";"0,7919";"0,0132";"0,0003"
"0,3400";"0,0015";"0,0009";"0,0008";"0,0000";"0,9290";"0,0155";"0,0004"
"0,3600";"0,0016";"0,0010";"0,0009";"0,0000";"1,0280";"0,0171";"0,0005"
"0,3800";"0,0017";"0,0011";"0,0009";"0,0000";"1,1299";"0,0188";"0,0005"
"0,4000";"0,0018";"0,0012";"0,0010";"0,0000";"1,2430";"0,0207";"0,0006"
"0,4200";"0,0019";"0,0014";"0,0012";"0,0000";"1,3916";"0,0232";"0,0006"
"0,4400";"0,0020";"0,0015";"0,0013";"0,0000";"1,4988";"0,0250";"0,0007"
"0,4600";"0,0021";"0,0016";"0,0013";"0,0000";"1,5702";"0,0262";"0,0007"
"0,4800";"0,0022";"0,0017";"0,0014";"0,0000";"1,6630";"0,0277";"0,0007"
"0,5000";"0,0023";"0,0018";"0,0015";"0,0000";"1,7962";"0,0299";"0,0008"
"0,5200";"0,0024";"0,0019";"0,0016";"0,0000";"1,9074";"0,0318";"0,0009"
"0,5400";"0,0025";"0,0020";"0,0017";"0,0000";"2,0426";"0,0340";"0,0009"
"0,5600";"0,0026";"0,0022";"0,0019";"0,0000";"2,1822";"0,0364";"0,0010"
"0,5800";"0,0028";"0,0023";"0,0020";"0,0000";"2,3380";"0,0390";"0,0010"
"0,6000";"0,0029";"0,0025";"0,0021";"0,0000";"2,4746";"0,0412";"0,0011"
"0,6200";"0,0030";"0,0026";"0,0022";"0,0000";"2,5758";"0,0429";"0,0012"
"0,6400";"0,0031";"0,0027";"0,0023";"0,0000";"2,6700";"0,0445";"0,0012"
"0,6600";"0,0032";"0,0028";"0,0024";"0,0000";"2,7787";"0,0463";"0,0013"
"0,6800";"0,0033";"0,0029";"0,0025";"0,0000";"2,8967";"0,0483";"0,0013"
"0,7000";"0,0034";"0,0031";"0,0026";"0,0000";"3,0530";"0,0509";"0,0014"
"0,7200";"0,0035";"0,0032";"0,0028";"0,0000";"3,2033";"0,0534";"0,0015"
"0,7400";"0,0037";"0,0034";"0,0029";"0,0000";"3,3775";"0,0563";"0,0015"
"0,7600";"0,0038";"0,0035";"0,0030";"0,0000";"3,5137";"0,0586";"0,0016"
"0,7800";"0,0039";"0,0036";"0,0031";"0,0000";"3,6224";"0,0604";"0,0016"
"0,8000";"0,0040";"0,0037";"0,0032";"0,0000";"3,7332";"0,0622";"0,0017"
"0,8200";"0,0041";"0,0039";"0,0034";"0,0000";"3,8767";"0,0646";"0,0018"
"0,8400";"0,0043";"0,0040";"0,0035";"0,0000";"4,0116";"0,0669";"0,0018"
"0,8600";"0,0044";"0,0042";"0,0036";"0,0000";"4,1524";"0,0692";"0,0019"
"0,8800";"0,0045";"0,0043";"0,0037";"0,0000";"4,2973";"0,0716";"0,0020"
"0,9000";"0,0046";"0,0044";"0,0039";"0,0000";"4,4303";"0,0738";"0,0020"
"0,9200";"0,0047";"0,0046";"0,0040";"0,0000";"4,5617";"0,0760";"0,0021"
"0,9400";"0,0048";"0,0046";"0,0040";"0,0000";"4,6320";"0,0772";"0,0021"
"0,9600";"0,0049";"0,0047";"0,0041";"0,0000";"4,7366";"0,0789";"0,0022"
"0,9800";"0,0050";"0,0049";"0,0042";"0,0000";"4,8728";"0,0812";"0,0022"
"1,0000";"0,0052";"0,0050";"0,0044";"0,0000";"5,0191";"0,0837";"0,0023"
"1,0200";"0,0053";"0,0052";"0,0045";"0,0000";"5,1804";"0,0863";"0,0024"
"1,0400";"0,0055";"0,0053";"0,0047";"0,0000";"5,3289";"0,0888";"0,0025"
"1,0600";"0,0056";"0,0055";"0,0048";"0,0000";"5,4687";"0,0911";"0,0025"
"1,0800";"0,0057";"0,0056";"0,0049";"0,0000";"5,6144";"0,0936";"0,0026"
"1,1000";"0,0058";"0,0058";"0,0051";"0,0000";"5,7631";"0,0961";"0,0027"
"1,1200";"0,0060";"0,0059";"0,0052";"0,0000";"5,9045";"0,0984";"0,0027"
"1,1400";"0,0061";"0,0060";"0,0053";"0,0000";"6,0361";"0,1006";"0,0028"
"1,1600";"0,0062";"0,0061";"0,0054";"0,0000";"6,1264";"0,1021";"0,0028"
"1,1800";"0,0063";"0,0062";"0,0055";"0,0000";"6,2260";"0,1038";"0,0029"
"1,2000";"0,0064";"0,0064";"0,0056";"0,0000";"6,3869";"0,1064";"0,0030"
"1,2200";"0,0065";"0,0065";"0,0058";"0,0000";"6,5295";"0,1088";"0,0030"
"1,2400";"0,0067";"0,0067";"0,0059";"0,0000";"6,6589";"0,1110";"0,0031"
"1,2600";"0,0068";"0,0068";"0,0060";"0,0000";"6,7819";"0,1130";"0,0032"
"1,2800";"0,0069";"0,0069";"0,0061";"0,0000";"6,9072";"0,1151";"0,0032"
"1,3000";"0,0070";"0,0071";"0,0063";"0,0000";"7,0572";"0,1176";"0,0033"
"1,3200";"0,0072";"0,0072";"0,0064";"0,0000";"7,2285";"0,1205";"0,0034"
"1,3400";"0,0073";"0,0074";"0,0065";"0,0000";"7,3691";"0,1228";"0,0034"
"1,3600";"0,0074";"0,0075";"0,0066";"0,0000";"7,4632";"0,1244";"0,0035"
