Tempo; Deslocamento; Força; Tensão à flexão
(s);(mm);(kN);(MPa)
"0,0000";"0,1725";"0,0000";"-0,0100"
"0,0200";"0,1723";"-0,0001";"-0,0219"
"0,0400";"0,1718";"-0,0001";"-0,0396"
"0,0600";"0,1716";"-0,0002";"-0,0487"
"0,0800";"0,1716";"-0,0002";"-0,0516"
"0,1000";"0,1716";"-0,0002";"-0,0493"
"0,1200";"0,1718";"-0,0002";"-0,0460"
"0,1400";"0,1719";"-0,0001";"-0,0369"
"0,1600";"0,1720";"-0,0001";"-0,0269"
"0,1800";"0,1723";"0,0000";"-0,0152"
"0,2000";"0,1725";"0,0000";"-0,0056"
"0,2200";"0,1727";"0,0000";"0,0060"
"0,2400";"0,1730";"0,0001";"0,0158"
"0,2600";"0,1734";"0,0001";"0,0339"
"0,2800";"0,1739";"0,0002";"0,0555"
"0,3000";"0,1744";"0,0003";"0,0824"
"0,3200";"0,1751";"0,0004";"0,1135"
"0,3400";"0,1758";"0,0005";"0,1396"
"0,3600";"0,1764";"0,0005";"0,1651"
"0,3800";"0,1771";"0,0006";"0,1956"
"0,4000";"0,1778";"0,0007";"0,2246"
"0,4200";"0,1786";"0,0008";"0,2569"
"0,4400";"0,1794";"0,0010";"0,2910"
"0,4600";"0,1801";"0,0011";"0,3221"
"0,4800";"0,1809";"0,0011";"0,3498"
"0,5000";"0,1817";"0,0013";"0,3843"
"0,5200";"0,1826";"0,0014";"0,4219"
"0,5400";"0,1836";"0,0015";"0,4586"
"0,5600";"0,1846";"0,0016";"0,4969"
"0,5800";"0,1855";"0,0018";"0,5358"
"0,6000";"0,1864";"0,0019";"0,5672"
"0,6200";"0,1873";"0,0020";"0,5990"
"0,6400";"0,1881";"0,0021";"0,6294"
"0,6600";"0,1890";"0,0022";"0,6620"
"0,6800";"0,1899";"0,0023";"0,6999"
"0,7000";"0,1910";"0,0024";"0,7387"
"0,7200";"0,1920";"0,0025";"0,7760"
"0,7400";"0,1928";"0,0026";"0,8060"
"0,7600";"0,1938";"0,0028";"0,8437"
"0,7800";"0,1948";"0,0029";"0,8802"
"0,8000";"0,1958";"0,0030";"0,9146"
"0,8200";"0,1967";"0,0031";"0,9460"
"0,8400";"0,1977";"0,0032";"0,9776"
"0,8600";"0,1987";"0,0033";"1,0177"
"0,8800";"0,1997";"0,0035";"1,0604"
"0,9000";"0,2007";"0,0036";"1,0907"
"0,9200";"0,2016";"0,0037";"1,1227"
"0,9400";"0,2026";"0,0038";"1,1538"
"0,9600";"0,2036";"0,0039";"1,1940"
"0,9800";"0,2046";"0,0040";"1,2328"
"1,0000";"0,2056";"0,0042";"1,2674"
"1,0200";"0,2065";"0,0043";"1,3049"
"1,0400";"0,2075";"0,0044";"1,3391"
