Tempo;Deslocamento;Força;Tensão à flexão
(s);(mm);(kN);(MPa)
"0,0000";"0,5288";"0,0000";"-0,0022"
"0,0200";"0,5288";"0,0000";"-0,0024"
"0,0400";"0,5288";"0,0000";"0,0000"
"0,0600";"0,5292";"0,0001";"0,0125"
"0,0800";"0,5301";"0,0001";"0,0362"
"0,1000";"0,5317";"0,0003";"0,0781"
"0,1200";"0,5338";"0,0005";"0,1353"
"0,1400";"0,5363";"0,0008";"0,1985"
"0,1600";"0,5390";"0,0011";"0,2641"
"0,1800";"0,5417";"0,0013";"0,3324"
"0,2000";"0,5445";"0,0016";"0,3963"
"0,2200";"0,5472";"0,0018";"0,4596"
"0,2400";"0,5500";"0,0021";"0,5247"
"0,2600";"0,5528";"0,0023";"0,5874"
"0,2800";"0,5556";"0,0026";"0,6549"
"0,3000";"0,5583";"0,0029";"0,7195"
"0,3200";"0,5611";"0,0032";"0,7896"
"0,3400";"0,5640";"0,0034";"0,8610"
"0,3600";"0,5669";"0,0037";"0,9325"
"0,3800";"0,5697";"0,0040";"1,0000"
"0,4000";"0,5724";"0,0043";"1,0668"
"0,4200";"0,5751";"0,0045";"1,1377"
"0,4400";"0,5781";"0,0048";"1,2102"
"0,4600";"0,5808";"0,0051";"1,2789"
"0,4800";"0,5835";"0,0054";"1,3520"
"0,5000";"0,5864";"0,0057";"1,4251"
"0,5200";"0,5894";"0,0060";"1,5047"
"0,5400";"0,5924";"0,0063";"1,5834"
"0,5600";"0,5952";"0,0066";"1,6560"
"0,5800";"0,5980";"0,0069";"1,7271"
"0,6000";"0,6009";"0,0072";"1,8050"
"0,6200";"0,6038";"0,0075";"1,8817"
"0,6400";"0,6067";"0,0078";"1,9564"
"0,6600";"0,6095";"0,0081";"2,0299"
"0,6800";"0,6125";"0,0084";"2,1074"
"0,7000";"0,6156";"0,0088";"2,1897"
"0,7200";"0,6186";"0,0091";"2,2703"
"0,7400";"0,6215";"0,0094";"2,3445"
"0,7600";"0,6245";"0,0097";"2,4251"
"0,7800";"0,6275";"0,0100";"2,5072"
"0,8000";"0,6304";"0,0103";"2,5878"
"0,8200";"0,6333";"0,0106";"2,6634"
"0,8400";"0,6363";"0,0110";"2,7412"
"0,8600";"0,6392";"0,0113";"2,8218"
"0,8800";"0,6422";"0,0116";"2,9018"
"0,9000";"0,6451";"0,0119";"2,9789"
"0,9200";"0,6480";"0,0122";"3,0584"
"0,9400";"0,6510";"0,0126";"3,1410"
"0,9600";"0,6540";"0,0129";"3,2214"
"0,9800";"0,6570";"0,0132";"3,3043"
"1,0000";"0,6600";"0,0135";"3,3855"
"1,0200";"0,6629";"0,0138";"3,4621"
"1,0400";"0,6658";"0,0142";"3,5394"
"1,0600";"0,6687";"0,0145";"3,6149"
"1,0800";"0,6715";"0,0148";"3,6909"
"1,1000";"0,6744";"0,0151";"3,7719"
"1,1200";"0,6774";"0,0154";"3,8557"
"1,1400";"0,6803";"0,0157";"3,9341"
"1,1600";"0,6833";"0,0160";"4,0114"
"1,1800";"0,6862";"0,0164";"4,0907"
"1,2000";"0,6891";"0,0167";"4,1696"
"1,2200";"0,6921";"0,0170";"4,2531"
"1,2400";"0,6951";"0,0173";"4,3312"
