Tempo; Deslocamento; Força; Tensão à flexão
(s);(mm);(kN);(MPa)
"0,0000";"0,6694";"0,0000";"-0,0054"
"0,0200";"0,6693";"0,0000";"-0,0069"
"0,0400";"0,6691";"-0,0001";"-0,0132"
"0,0600";"0,6693";"0,0000";"-0,0117"
"0,0800";"0,6698";"0,0000";"0,0046"
"0,1000";"0,6710";"0,0001";"0,0329"
"0,1200";"0,6730";"0,0003";"0,0713"
"0,1400";"0,6754";"0,0005";"0,1141"
"0,1600";"0,6781";"0,0006";"0,1590"
"0,1800";"0,6810";"0,0009";"0,2096"
"0,2000";"0,6841";"0,0011";"0,2599"
"0,2200";"0,6871";"0,0013";"0,3086"
"0,2400";"0,6900";"0,0014";"0,3541"
"0,2600";"0,6930";"0,0017";"0,4043"
"0,2800";"0,6960";"0,0019";"0,4533"
"0,3000";"0,6990";"0,0020";"0,5001"
"0,3200";"0,7022";"0,0022";"0,5495"
"0,3400";"0,7053";"0,0024";"0,5955"
"0,3600";"0,7083";"0,0026";"0,6417"
"0,3800";"0,7112";"0,0028";"0,6896"
"0,4000";"0,7143";"0,0030";"0,7350"
"0,4200";"0,7175";"0,0032";"0,7816"
"0,4400";"0,7206";"0,0034";"0,8310"
"0,4600";"0,7235";"0,0036";"0,8774"
"0,4800";"0,7265";"0,0038";"0,9209"
"0,5000";"0,7294";"0,0039";"0,9636"
"0,5200";"0,7325";"0,0041";"1,0072"
"0,5400";"0,7355";"0,0043";"1,0531"
"0,5600";"0,7386";"0,0045";"1,0993"
"0,5800";"0,7416";"0,0047";"1,1421"
"0,6000";"0,7447";"0,0048";"1,1859"
"0,6200";"0,7478";"0,0050";"1,2348"
"0,6400";"0,7509";"0,0052";"1,2812"
"0,6600";"0,7538";"0,0054";"1,3248"
"0,6800";"0,7569";"0,0056";"1,3687"
"0,7000";"0,7600";"0,0058";"1,4161"
"0,7200";"0,7632";"0,0060";"1,4613"
"0,7400";"0,7663";"0,0062";"1,5078"
"0,7600";"0,7694";"0,0063";"1,5533"
"0,7800";"0,7724";"0,0065";"1,5941"
"0,8000";"0,7754";"0,0067";"1,6359"
"0,8200";"0,7784";"0,0069";"1,6817"
"0,8400";"0,7815";"0,0071";"1,7271"
"0,8600";"0,7846";"0,0072";"1,7701"
"0,8800";"0,7875";"0,0074";"1,8109"
"0,9000";"0,7906";"0,0076";"1,8557"
