Tempo; Deslocamento; Força; Tensão à flexão
(s);(mm);(kN);(MPa)
"0,0000";"0,4848";"0,0000";"-0,0054"
"0,0200";"0,4848";"0,0000";"-0,0042"
"0,0400";"0,4848";"0,0000";"-0,0031"
"0,0600";"0,4850";"0,0000";"0,0037"
"0,0800";"0,4858";"0,0001";"0,0267"
"0,1000";"0,4873";"0,0003";"0,0689"
"0,1200";"0,4894";"0,0005";"0,1302"
"0,1400";"0,4922";"0,0008";"0,2083"
"0,1600";"0,4950";"0,0011";"0,2866"
"0,1800";"0,4977";"0,0014";"0,3671"
"0,2000";"0,5004";"0,0017";"0,4408"
"0,2200";"0,5030";"0,0020";"0,5151"
"0,2400";"0,5060";"0,0023";"0,5974"
"0,2600";"0,5091";"0,0026";"0,6786"
"0,2800";"0,5119";"0,0029";"0,7550"
"0,3000";"0,5147";"0,0032";"0,8320"
"0,3200";"0,5177";"0,0035";"0,9189"
"0,3400";"0,5209";"0,0039";"1,0093"
"0,3600";"0,5238";"0,0042";"1,0885"
"0,3800";"0,5264";"0,0044";"1,1589"
"0,4000";"0,5291";"0,0047";"1,2365"
"0,4200";"0,5321";"0,0051";"1,3258"
"0,4400";"0,5353";"0,0054";"1,4188"
"0,4600";"0,5382";"0,0057";"1,4985"
"0,4800";"0,5410";"0,0060";"1,5751"
"0,5000";"0,5438";"0,0063";"1,6555"
"0,5200";"0,5467";"0,0067";"1,7401"
"0,5400";"0,5497";"0,0070";"1,8265"
"0,5600";"0,5526";"0,0073";"1,9091"
"0,5800";"0,5555";"0,0076";"1,9976"
"0,6000";"0,5585";"0,0080";"2,0823"
"0,6200";"0,5613";"0,0083";"2,1612"
"0,6400";"0,5641";"0,0086";"2,2423"
"0,6600";"0,5669";"0,0089";"2,3261"
"0,6800";"0,5699";"0,0092";"2,4128"
"0,7000";"0,5727";"0,0095";"2,4948"
"0,7200";"0,5755";"0,0099";"2,5822"
"0,7400";"0,5784";"0,0102";"2,6637"
"0,7600";"0,5812";"0,0105";"2,7442"
"0,7800";"0,5840";"0,0108";"2,8269"
"0,8000";"0,5868";"0,0111";"2,9128"
"0,8200";"0,5896";"0,0115";"2,9989"
"0,8400";"0,5925";"0,0118";"3,0817"
"0,8600";"0,5954";"0,0121";"3,1706"
"0,8800";"0,5982";"0,0125";"3,2589"
"0,9000";"0,6010";"0,0128";"3,3401"
"0,9200";"0,6038";"0,0131";"3,4286"
"0,9400";"0,6067";"0,0134";"3,5171"
