Deformação (%);Tensão à flexão (MPa)
0,3660899653979239;-0,0005
0,3660899653979239;-0,0004
0,3666831438457736;0,0034
0,3688581314878892;0,0181
0,3727137913989125;0,0419
0,3771626297577854;0,0697
0,3818091942659417;0,099
0,3863568956994562;0,1289
0,3908057340583292;0,1605
0,39515570934256056;0,1923
0,39940682155215024;0,2242
0,4035590706870984;0,2563
0,4076124567474048;0,2895
0,41166584280771135;0,3231
0,41552150271873456;0,3572
0,41937716262975777;0,3921
0,423232822540781;0,4279
0,4269896193771626;0,4631
0,4308452792881859;0,4997
0,43470093919920905;0,5388
0,43875432525951547;0,5803
0,44280771131982205;0,6223
0,44676223430548695;0,6659
0,45081562036579337;0,7094
0,4546712802768166;0,7517
0,4585269401878398;0,7942
0,4622837370242215;0,8385
0,46623826000988633;0,8845
0,4700939199209095;0,9319
0,47404844290657433;0,9791
0,47780523974295597;1,0259
0,48156203657933755;1,0718
0,48521997034107756;1,1184
0,48907563025210077;1,1675
0,492931290163124;1,2168
0,4966880869995056;1,2669
0,5003460207612456;1,3135
0,5039050914483441;1,3586
0,507563025210084;1,4064
0,5112209589718241;1,4563
0,5149777558082057;1,5072
0,5188334157192289;1,5608
0,5225902125556103;1,6113
0,5261492832427088;1,6591
0,5296094908551655;1,7076
0,533168561542264;1,7602
0,5369253583786456;1,8154
0,5407810182896688;1,8732
0,5444389520514088;1,9259
0,5479980227385072;1,9782
0,5516559565002471;2,0325
0,5552150271873455;2,0874
0,558774097874444;2,1411
0,5624320316361839;2,1987
0,5660899653979239;2,258
0,569747899159664;2,3146
0,5733069698467622;2,3712
0,5769649036085022;2,4297
0,5808205635195254;2,4919
0,584577360355907;2,5532
0,5881364310430054;2,6126
0,591893227879387;2,6734
0,5956500247157687;2,7364
0,5994068215521502;2,8009
0,6031636183885317;2,8635
0,606821552150272;2,9227
0,610479485912012;2,9825
0,6142362827483934;3,0458
0,617993079584775;3,1091
0,621651013346515;3,1713
0,6254078101828968;3,2339
0,628966880869995;3,2945
0,632624814631735;3,3562
0,6363816114681167;3,421
0,6401384083044982;3,483
0,6436974789915967;3,5417
0,6471576866040534;3,5988
0,6507167572911519;3,6599
0,6543746910528918;3,7236
0,6581314878892733;3,7885
0,6617894216510134;3,8516
0,6653484923381118;3,9107
0,6690064260998516;3,9747
0,6726643598615917;4,0369
0,6761245674740484;4,0955
0,6796836381611467;4,1544
0,6834404349975285;4,2219
0,6872960949085518;4,2905
0,69085516559565;4,352
0,6944142362827485;4,4109
0,6979733069698467;4,4743
0,7016312407315867;4,5385
0,7054869006426099;4,6079
0,7092436974789917;4,6728
0,7129016312407315;4,7338
0,71646070192783;4,7963
0,7200197726149282;4,8586
0,7236777063766683;4,9202
0,7273356401384083;4,9845
0,7310924369747899;5,0515
0,7347503707365298;5,1159
0,7383094414236283;5,1756
0,7419673751853683;5,2407
0,7456253089471082;5,303
0,7492832427088483;5,3694
0,7530400395452299;5,4368
0,7566979733069698;5,5
0,7602570439940682;5,5603
0,7639149777558083;5,6251
0,7676717745921897;5,6917
0,7714285714285715;5,7567
0,775185368264953;5,8244
0,7790410281759763;5,8935
0,7828966880869994;5,961
0,7864557587740979;6,0195
0,7901136925358379;6,0836
0,7939693524468612;6,1521
0,7978250123578844;6,2232
0,8016806722689075;6,2889
0,8054374691052891;6,3545
0,8091942659416709;6,4202
0,8130499258526941;6,4876
0,8169055857637173;6,556
0,8207612456747405;6,6224
0,824518042511122;6,6873
0,8282748393475037;6,7534
0,8321304992585269;6,8221
0,8359861591695501;6,8885
0,8398418190805733;6,9563
0,8436974789915965;7,0246
0,8476520019772615;7,0964
0,8516065249629263;7,1666
0,8554621848739495;7,2326
