Tempo;Deslocamento;Força;Deslocamento à tração;Quantidade de PIP;Tenacidade;Tensão à tração;Deformação à tração (Deslocamento)
"0,0000";"-0,0006";"0,0000";"0,0000";"0,0000";"0,0373";"0,0006";"0,0000"
"0,0200";"-0,0006";"0,0000";"0,0000";"0,0000";"0,0417";"0,0007";"0,0000"
"0,0400";"-0,0006";"0,0001";"0,0000";"0,0000";"0,0702";"0,0012";"0,0000"
"0,0600";"-0,0006";"0,0001";"0,0000";"0,0000";"0,1310";"0,0022";"0,0000"
"0,0800";"-0,0005";"0,0002";"0,0001";"0,0000";"0,1639";"0,0027";"0,0000"
"0,1000";"-0,0005";"0,0002";"0,0001";"0,0000";"0,1865";"0,0031";"0,0000"
"0,1200";"-0,0005";"0,0002";"0,0001";"0,0000";"0,2391";"0,0040";"0,0001"
"0,1400";"-0,0004";"0,0003";"0,0002";"0,0000";"0,2976";"0,0050";"0,0001"
"0,1600";"-0,0004";"0,0004";"0,0003";"0,0000";"0,3692";"0,0062";"0,0001"
"0,1800";"-0,0003";"0,0004";"0,0003";"0,0000";"0,4438";"0,0074";"0,0002"
"0,2000";"-0,0002";"0,0005";"0,0004";"0,0000";"0,4876";"0,0081";"0,0002"
"0,2200";"-0,0002";"0,0005";"0,0004";"0,0000";"0,5424";"0,0090";"0,0002"
"0,2400";"-0,0001";"0,0006";"0,0005";"0,0000";"0,6042";"0,0101";"0,0002"
"0,2600";"-0,0001";"0,0007";"0,0005";"0,0000";"0,6908";"0,0115";"0,0003"
"0,2800";"0,0000";"0,0008";"0,0006";"0,0000";"0,7666";"0,0128";"0,0003"
"0,3000";"0,0001";"0,0008";"0,0007";"0,0000";"0,8369";"0,0139";"0,0004"
"0,3200";"0,0001";"0,0009";"0,0007";"0,0000";"0,8979";"0,0150";"0,0004"
"0,3400";"0,0002";"0,0010";"0,0008";"0,0000";"0,9854";"0,0164";"0,0004"
"0,3600";"0,0003";"0,0011";"0,0009";"0,0000";"1,0715";"0,0179";"0,0005"
"0,3800";"0,0004";"0,0012";"0,0010";"0,0000";"1,1586";"0,0193";"0,0005"
"0,4000";"0,0004";"0,0012";"0,0010";"0,0000";"1,2102";"0,0202";"0,0005"
"0,4200";"0,0005";"0,0013";"0,0011";"0,0000";"1,2703";"0,0212";"0,0006"
"0,4400";"0,0005";"0,0013";"0,0011";"0,0000";"1,3450";"0,0224";"0,0006"
"0,4600";"0,0006";"0,0014";"0,0012";"0,0000";"1,4492";"0,0242";"0,0007"
"0,4800";"0,0007";"0,0016";"0,0014";"0,0000";"1,5747";"0,0262";"0,0007"
"0,5000";"0,0009";"0,0017";"0,0015";"0,0000";"1,6994";"0,0283";"0,0008"
"0,5200";"0,0010";"0,0018";"0,0016";"0,0000";"1,8240";"0,0304";"0,0008"
"0,5400";"0,0011";"0,0020";"0,0017";"0,0000";"1,9549";"0,0326";"0,0009"
"0,5600";"0,0012";"0,0020";"0,0018";"0,0000";"2,0465";"0,0341";"0,0009"
"0,5800";"0,0013";"0,0021";"0,0019";"0,0000";"2,1491";"0,0358";"0,0010"
"0,6000";"0,0014";"0,0023";"0,0020";"0,0000";"2,2940";"0,0382";"0,0011"
"0,6200";"0,0015";"0,0024";"0,0021";"0,0000";"2,4067";"0,0401";"0,0011"
"0,6400";"0,0017";"0,0026";"0,0023";"0,0000";"2,5618";"0,0427";"0,0012"
"0,6600";"0,0018";"0,0027";"0,0024";"0,0000";"2,7131";"0,0452";"0,0013"
"0,6800";"0,0019";"0,0028";"0,0025";"0,0000";"2,8371";"0,0473";"0,0013"
"0,7000";"0,0020";"0,0029";"0,0026";"0,0000";"2,9066";"0,0484";"0,0014"
"0,7200";"0,0021";"0,0030";"0,0027";"0,0000";"2,9854";"0,0498";"0,0014"
"0,7400";"0,0022";"0,0031";"0,0028";"0,0000";"3,1483";"0,0525";"0,0015"
"0,7600";"0,0024";"0,0033";"0,0030";"0,0000";"3,3323";"0,0555";"0,0016"
"0,7800";"0,0025";"0,0034";"0,0031";"0,0000";"3,4450";"0,0574";"0,0016"
"0,8000";"0,0026";"0,0036";"0,0032";"0,0000";"3,5510";"0,0592";"0,0017"
"0,8200";"0,0028";"0,0037";"0,0034";"0,0000";"3,6959";"0,0616";"0,0018"
"0,8400";"0,0029";"0,0039";"0,0035";"0,0000";"3,9001";"0,0650";"0,0019"
"0,8600";"0,0031";"0,0040";"0,0037";"0,0000";"4,0437";"0,0674";"0,0019"
"0,8800";"0,0032";"0,0041";"0,0038";"0,0000";"4,1215";"0,0687";"0,0020"
"0,9000";"0,0032";"0,0042";"0,0038";"0,0000";"4,1894";"0,0698";"0,0020"
"0,9200";"0,0034";"0,0043";"0,0040";"0,0000";"4,3427";"0,0724";"0,0021"
"0,9400";"0,0035";"0,0045";"0,0042";"0,0000";"4,5282";"0,0755";"0,0022"
"0,9600";"0,0037";"0,0047";"0,0043";"0,0000";"4,6678";"0,0778";"0,0023"
"0,9800";"0,0038";"0,0048";"0,0044";"0,0000";"4,7816";"0,0797";"0,0023"
"1,0000";"0,0039";"0,0049";"0,0045";"0,0000";"4,9177";"0,0820";"0,0024"
"1,0200";"0,0040";"0,0050";"0,0046";"0,0000";"5,0375";"0,0840";"0,0024"
"1,0400";"0,0042";"0,0052";"0,0048";"0,0000";"5,1710";"0,0862";"0,0025"
"1,0600";"0,0044";"0,0054";"0,0050";"0,0000";"5,3692";"0,0895";"0,0026"
"1,0800";"0,0045";"0,0055";"0,0051";"0,0000";"5,5325";"0,0922";"0,0027"
"1,1000";"0,0047";"0,0057";"0,0053";"0,0000";"5,6776";"0,0946";"0,0028"
"1,1200";"0,0048";"0,0058";"0,0054";"0,0000";"5,8197";"0,0970";"0,0029"
"1,1400";"0,0050";"0,0060";"0,0056";"0,0000";"5,9693";"0,0995";"0,0029"
"1,1600";"0,0051";"0,0061";"0,0057";"0,0000";"6,1488";"0,1025";"0,0030"
"1,1800";"0,0053";"0,0063";"0,0059";"0,0000";"6,3237";"0,1054";"0,0031"
"1,2000";"0,0054";"0,0064";"0,0060";"0,0000";"6,4396";"0,1073";"0,0032"
"1,2200";"0,0055";"0,0065";"0,0061";"0,0000";"6,5299";"0,1088";"0,0032"
"1,2400";"0,0056";"0,0067";"0,0062";"0,0000";"6,6644";"0,1111";"0,0033"
"1,2600";"0,0058";"0,0068";"0,0064";"0,0000";"6,8370";"0,1139";"0,0034"
"1,2800";"0,0059";"0,0069";"0,0065";"0,0000";"6,9482";"0,1158";"0,0034"
"1,3000";"0,0061";"0,0071";"0,0067";"0,0000";"7,0909";"0,1182";"0,0035"
"1,3200";"0,0062";"0,0073";"0,0068";"0,0000";"7,2668";"0,1211";"0,0036"
"1,3400";"0,0064";"0,0074";"0,0070";"0,0000";"7,4321";"0,1239";"0,0037"
"1,3600";"0,0065";"0,0076";"0,0071";"0,0000";"7,5819";"0,1264";"0,0038"
"1,3800";"0,0067";"0,0078";"0,0073";"0,0000";"7,7751";"0,1296";"0,0039"
"1,4000";"0,0069";"0,0079";"0,0075";"0,0000";"7,9413";"0,1324";"0,0039"
"1,4200";"0,0070";"0,0081";"0,0076";"0,0000";"8,1004";"0,1350";"0,0040"
"1,4400";"0,0072";"0,0083";"0,0078";"0,0000";"8,2715";"0,1379";"0,0041"
"1,4600";"0,0073";"0,0084";"0,0079";"0,0000";"8,3975";"0,1400";"0,0042"
"1,4800";"0,0074";"0,0085";"0,0080";"0,0000";"8,4795";"0,1413";"0,0042"
"1,5000";"0,0075";"0,0086";"0,0081";"0,0000";"8,6018";"0,1434";"0,0043"
"1,5200";"0,0077";"0,0088";"0,0083";"0,0000";"8,7623";"0,1460";"0,0044"
"1,5400";"0,0078";"0,0089";"0,0084";"0,0000";"8,9056";"0,1484";"0,0044"
"1,5600";"0,0079";"0,0090";"0,0085";"0,0000";"9,0175";"0,1503";"0,0045"
"1,5800";"0,0081";"0,0092";"0,0087";"0,0000";"9,1883";"0,1531";"0,0046"
"1,6000";"0,0082";"0,0093";"0,0088";"0,0000";"9,3373";"0,1556";"0,0046"
"1,6200";"0,0084";"0,0095";"0,0090";"0,0000";"9,4910";"0,1582";"0,0047"
"1,6400";"0,0085";"0,0097";"0,0091";"0,0000";"9,6508";"0,1608";"0,0048"
"1,6600";"0,0087";"0,0098";"0,0093";"0,0000";"9,8222";"0,1637";"0,0049"
"1,6800";"0,0088";"0,0100";"0,0094";"0,0000";"9,9533";"0,1659";"0,0050"
"1,7000";"0,0090";"0,0101";"0,0096";"0,0000";"10,1075";"0,1685";"0,0050"
"1,7200";"0,0091";"0,0102";"0,0097";"0,0000";"10,2205";"0,1703";"0,0051"
"1,7400";"0,0092";"0,0104";"0,0098";"0,0000";"10,3971";"0,1733";"0,0052"
"1,7600";"0,0094";"0,0106";"0,0101";"0,0000";"10,6040";"0,1767";"0,0053"
"1,7800";"0,0096";"0,0108";"0,0102";"0,0000";"10,7791";"0,1797";"0,0054"
"1,8000";"0,0097";"0,0109";"0,0103";"0,0000";"10,8845";"0,1814";"0,0054"
"1,8200";"0,0098";"0,0109";"0,0104";"0,0000";"10,9468";"0,1824";"0,0055"
"1,8400";"0,0099";"0,0111";"0,0105";"0,0000";"11,0659";"0,1844";"0,0055"
"1,8600";"0,0101";"0,0112";"0,0107";"0,0000";"11,2454";"0,1874";"0,0056"
"1,8800";"0,0102";"0,0114";"0,0108";"0,0000";"11,3955";"0,1899";"0,0057"
"1,9000";"0,0104";"0,0116";"0,0110";"0,0000";"11,5830";"0,1930";"0,0058"
"1,9200";"0,0106";"0,0118";"0,0112";"0,0000";"11,7703";"0,1962";"0,0059"
"1,9400";"0,0107";"0,0119";"0,0113";"0,0000";"11,8829";"0,1980";"0,0060"
"1,9600";"0,0108";"0,0120";"0,0114";"0,0000";"11,9941";"0,1999";"0,0060"
"1,9800";"0,0109";"0,0121";"0,0115";"0,0000";"12,1082";"0,2018";"0,0061"
"2,0000";"0,0111";"0,0123";"0,0117";"0,0000";"12,2770";"0,2046";"0,0062"
