Tempo,Deslocamento,Força,Deformação à tração (Deslocamento),Deslocamento à tração,Quantidade de PIP,Tenacidade,Tensão à tração
0.0,-0.0018,0.0,0.0,0.0,0.0,0.0412,0.0007
0.02,-0.0018,0.0001,0.0,0.0,0.0,0.0574,0.001
0.04,-0.0017,0.0001,0.0001,0.0001,0.0,0.1324,0.0022
0.06,-0.0013,0.0005,0.0002,0.0005,0.0,0.5261,0.0088
0.08,-0.0005,0.0014,0.0007,0.0013,0.0,1.4251,0.0238
0.1,0.0006,0.0025,0.0013,0.0024,0.0,2.5307,0.0422
0.12,0.0016,0.0036,0.0018,0.0034,0.0,3.5975,0.06
0.14,0.0026,0.0046,0.0023,0.0044,0.0,4.6353,0.0773
0.16,0.0037,0.0058,0.0029,0.0055,0.0,5.7709,0.0962
0.18,0.0049,0.0069,0.0035,0.0067,0.0,6.9369,0.1156
0.2,0.006,0.0081,0.0041,0.0078,0.0,8.1218,0.1354
0.22,0.0071,0.0092,0.0047,0.0089,0.0,9.2076,0.1535
0.24,0.0082,0.0103,0.0053,0.01,0.0,10.3088,0.1718
0.26,0.0093,0.0114,0.0058,0.0111,0.0,11.379,0.1897
0.28,0.0105,0.0126,0.0065,0.0123,0.0,12.5961,0.2099
0.3,0.0119,0.014,0.0072,0.0137,0.0,13.9534,0.2326
0.32,0.0133,0.0153,0.0079,0.0151,0.0,15.3123,0.2552
0.34,0.0144,0.0164,0.0085,0.0162,0.0,16.4336,0.2739
0.36,0.0156,0.0176,0.0091,0.0174,0.0,17.5881,0.2931
0.38,0.0169,0.0189,0.0098,0.0187,0.0,18.8558,0.3143
0.4,0.018,0.02,0.0104,0.0198,0.0,19.9898,0.3332
0.42,0.0192,0.0212,0.0111,0.021,0.0,21.1742,0.3529
0.44,0.0206,0.0225,0.0118,0.0224,0.0,22.5399,0.3757
0.46,0.0222,0.024,0.0126,0.024,0.0,24.0414,0.4007
0.48,0.0235,0.0253,0.0133,0.0253,0.0,25.3034,0.4217
0.5,0.0247,0.0265,0.014,0.0265,0.0,26.5244,0.4421
0.52,0.0261,0.0279,0.0147,0.0279,0.0,27.8501,0.4642
0.54,0.0277,0.0294,0.0155,0.0295,0.0,29.3935,0.4899
0.56,0.029,0.0307,0.0162,0.0308,0.0,30.655,0.5109
0.58,0.03,0.0317,0.0167,0.0318,0.0,31.6668,0.5278
0.6,0.0311,0.0327,0.0173,0.0329,0.0,32.697,0.5449
0.62,0.0324,0.0339,0.018,0.0341,0.0,33.9433,0.5657
0.64,0.0338,0.0353,0.0187,0.0356,0.0,35.3142,0.5886
0.66,0.0352,0.0367,0.0195,0.037,0.0,36.6569,0.6109
0.68,0.0365,0.0379,0.0202,0.0383,0.0,37.9438,0.6324
0.7,0.038,0.0394,0.0209,0.0398,0.0,39.3885,0.6565
0.72,0.0394,0.0408,0.0217,0.0412,0.0,40.7688,0.6795
0.74,0.0407,0.042,0.0224,0.0425,0.0,42.0019,0.7
0.76,0.0419,0.0431,0.023,0.0437,0.0,43.1146,0.7186
0.78,0.0433,0.0444,0.0237,0.045,0.0,44.3889,0.7398
0.8,0.0447,0.0457,0.0244,0.0464,0.0,45.7296,0.7622
0.82,0.046,0.0471,0.0252,0.0478,0.0,47.0616,0.7844
0.84,0.0476,0.0485,0.026,0.0494,0.0,48.5451,0.8091
0.86,0.0491,0.05,0.0268,0.0509,0.0,49.9652,0.8328
0.88,0.0505,0.0513,0.0275,0.0523,0.0,51.2608,0.8543
0.9,0.0518,0.0525,0.0282,0.0536,0.0,52.5182,0.8753
0.92,0.0532,0.0538,0.0289,0.055,0.0,53.8368,0.8973
0.94,0.0545,0.0551,0.0296,0.0563,0.0,55.0764,0.9179
0.96,0.0558,0.0563,0.0303,0.0576,0.0,56.3437,0.9391
0.98,0.0572,0.0576,0.031,0.059,0.0,57.6175,0.9603
1.0,0.0587,0.059,0.0318,0.0605,0.0,59.0036,0.9834
1.02,0.0603,0.0606,0.0327,0.0621,0.0,60.5648,1.0094
1.04,0.0618,0.062,0.0335,0.0636,0.0,61.9736,1.0329
1.06,0.0631,0.0632,0.0342,0.0649,0.0,63.2424,1.054
1.08,0.0643,0.0643,0.0348,0.0661,0.0,64.3384,1.0723
1.1,0.0655,0.0654,0.0354,0.0673,0.0,65.4417,1.0907
1.12,0.0667,0.0666,0.0361,0.0685,0.0,66.6345,1.1106
1.14,0.068,0.0678,0.0367,0.0697,0.0,67.7945,1.1299
1.16,0.0694,0.0691,0.0375,0.0712,0.0,69.1092,1.1518
1.18,0.0709,0.0705,0.0382,0.0727,0.0,70.4682,1.1745
1.2,0.0725,0.072,0.0391,0.0743,0.0,72.043,1.2007
1.22,0.0742,0.0736,0.04,0.076,0.0,73.6022,1.2267
1.24,0.0757,0.0749,0.0408,0.0775,0.0,74.941,1.249
1.26,0.0769,0.0761,0.0414,0.0787,0.0,76.0872,1.2681
1.28,0.0783,0.0774,0.0422,0.0801,0.0,77.3667,1.2894
